"Site","Site_ID","Project","Date","TP","Lat","Long"
"Veness Brook","07-VENE-0.4","DEC",2017-06-06,"24.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2017-06-06,"24.3",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-06-06,"20.2",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-06-06,"20.2",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2017-06-06,"27.4",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2017-06-06,"27.4",42.902,-76.527
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-07-05,"31",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-07-05,"31",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2017-07-05,"47.2",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2017-07-05,"47.2",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2017-07-28,"11.7",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC",2017-07-28,"11.7",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC",2017-07-28,"26.5",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2017-07-28,"26.5",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-07-28,"24.6",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-07-28,"24.6",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2017-07-28,"49",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2017-07-28,"49",42.902,-76.527
"Veness Brook","07-VENE-0.4","DEC",2017-10-30,"341.5",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC",2017-10-30,"341.5",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-10-30,"474.8",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC",2017-10-30,"474.8",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC",2017-10-30,"383.2",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC",2017-10-30,"383.2",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC",2017-11-15,"218.7",42.805,-76.491
