"Site","Site_ID","Project","Date","TP","Lat","Long"
"Owasco Inlet","OWLA 158","DHD","7/11/2022","46.9",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","7/11/2022","47.9",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD","7/11/2022","27.5",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD","7/11/2022","15.2",42.71622,-76.437075
"Long Point","OWLA 290","DHD","7/11/2022","16.7",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD","7/20/2022","18.3",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","7/20/2022","66.2",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD","7/20/2022","142.9",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","7/20/2022","53.8",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD","7/20/2022","27.4",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD","7/20/2022","16.7",42.71622,-76.437075
"Long Point","OWLA 290","DHD","7/20/2022","20.8",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD","8/3/2022","13.9",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","8/3/2022","77.9",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD","8/3/2022","185.5",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","8/3/2022","50.8",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD","8/3/2022","27.3",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD","8/3/2022","14.8",42.71622,-76.437075
"Long Point","OWLA 290","DHD","8/3/2022","19.1",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD","8/23/2022","184.5",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","8/23/2022","98.7",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD","8/23/2022","85.3",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","8/23/2022","55.8",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD","8/23/2022","31",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD","8/23/2022","39.5",42.71622,-76.437075
"Long Point","OWLA 290","DHD","8/23/2022","21.4",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD","9/8/2022","109.3",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","9/8/2022","416.6",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD","9/8/2022","1402.8",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","9/8/2022","115.4",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD","9/8/2022","39.5",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD","9/8/2022","24.3",42.71622,-76.437075
"Long Point","OWLA 290","DHD","9/8/2022","91.1",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD","9/21/2022","67",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","9/21/2022","86",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD","9/21/2022","41.9",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","9/21/2022","74.7",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD","9/21/2022","33.8",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD","9/21/2022","16.2",42.71622,-76.437075
"Long Point","OWLA 290","DHD","9/21/2022","24.2",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD","10/5/2022","8.1",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","10/5/2022","37.8",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD","10/5/2022","26.6",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","10/5/2022","59.2",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD","10/5/2022","12",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD","10/5/2022","8.7",42.71622,-76.437075
"Long Point","OWLA 290","DHD","10/5/2022","11.9",42.83408,-76.50477
"Dutch Hollow","OWLA 166","DHD","10/19/2022","8.9",42.86423,-76.507918
"Sucker Brook","OWLA 101","DHD","10/19/2022","17.3",42.901229,-76.527212
"Owasco Inlet","OWLA 158","DHD","10/19/2022","23.4",42.599363,-76.373137
"Veness Brook","OWLA 274","DHD","10/19/2022","25.4",42.889701,-76.54934
"State Rt. 90","OWLA 200","DHD","10/19/2022","35.3",42.659673,-76.428177
"West Cayuga St.","OWLA 213","DHD","10/19/2022","13",42.71622,-76.437075
"Long Point","OWLA 290","DHD","10/19/2022","10.5",42.83408,-76.50477
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17261","20.4",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17261","20.4",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC","17261","101.6",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17261","101.6",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17261","72.5",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17261","72.5",42.864,-76.508
