"site_id","waterbody_name","sample_date","parameter_name","result_value","municipality","description","latitude","longitude"
"07-DUCH-0.3","Dutch Hollow Brook","3/20/2018, 11:50 AM","PHOSPHORUS, TOTAL (AS P)",0.0088,"Owasco","east lake rd.",42.864,-76.508
"07-SCKR-0.1","Sucker Brook","3/20/2018, 10:40 AM","PHOSPHORUS, TOTAL (AS P)",0.0085,"Owasco","100 m upstream of sr 38a.",42.902,-76.527
"07-VENE-0.4","Veness Brook","3/20/2018, 9:30 AM","PHOSPHORUS, TOTAL (AS P)",0.0165,"Fleming","Veness Brook at Oltz Residence",42.886,-76.548
"07-OWLI-3.0","Owasco Lake Inlet","3/12/2018, 1:00 PM","PHOSPHORUS, TOTAL (AS P)",0.0058,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","3/12/2018, 1:00 PM","PHOSPHORUS, TOTAL (AS P)",0.0063,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-DUCH-0.3","Dutch Hollow Brook","3/12/2018, 12:00 PM","PHOSPHORUS, TOTAL (AS P)",0.0047,"Owasco","east lake rd.",42.864,-76.508
"07-SCKR-0.1","Sucker Brook","3/12/2018, 11:00 AM","PHOSPHORUS, TOTAL (AS P)",0.0084,"Owasco","100 m upstream of sr 38a.",42.902,-76.527
"07-VENE-0.4","Veness Brook","3/12/2018, 9:45 AM","PHOSPHORUS, TOTAL (AS P)",0.0088,"Fleming","Veness Brook at Oltz Residence",42.886,-76.548
"07-DUCH-0.2","Dutch Hollow Brook","10/23/2012, 12:00 PM","PHOSPHORUS, TOTAL",0.0144,"Owasco","at east lake rd. bridge.",42.864159,-76.508049
"07-DUCH-0.2","Dutch Hollow Brook","10/3/2012, 12:00 PM","PHOSPHORUS, TOTAL",0.0187,"Owasco","at east lake rd. bridge.",42.864159,-76.508049
"07-DUCH-0.2","Dutch Hollow Brook","9/10/2012, 12:00 PM","PHOSPHORUS, TOTAL",0.0555,"Owasco","at east lake rd. bridge.",42.864159,-76.508049
"07-DUCH-0.2","Dutch Hollow Brook","8/13/2012, 12:00 PM","PHOSPHORUS, TOTAL",0.014,"Owasco","at east lake rd. bridge.",42.864159,-76.508049
"07-DUCH-0.2","Dutch Hollow Brook","7/12/2012, 12:00 PM","PHOSPHORUS, TOTAL",0.0156,"Owasco","at east lake rd. bridge.",42.864159,-76.508049
"07-DUCH-0.2","Dutch Hollow Brook","6/28/2012, 11:00 AM","PHOSPHORUS, TOTAL",0.0124,"Owasco","at east lake rd. bridge.",42.864159,-76.508049
"07-DUCH-0.2","Dutch Hollow Brook","6/5/2012, 12:00 PM","PHOSPHORUS, TOTAL",0.0128,"Owasco","at east lake rd. bridge.",42.864159,-76.508049
"07-DUCH-0.2","Dutch Hollow Brook","5/15/2012, 12:00 PM","PHOSPHORUS, TOTAL",0.0114,"Owasco","at east lake rd. bridge.",42.864159,-76.508049
"07-DUCH-0.2","Dutch Hollow Brook","4/30/2012, 12:00 PM","PHOSPHORUS, TOTAL",0.0071,"Owasco","at east lake rd. bridge.",42.864159,-76.508049
"07-DUCH-0.2","Dutch Hollow Brook","4/4/2012, 12:00 PM","PHOSPHORUS, TOTAL",0.0054,"Owasco","at east lake rd. bridge.",42.864159,-76.508049
"07-OWLI-3.0","Owasco Lake Inlet","11/13/2007, 7:30 AM","PHOSPHORUS, TOTAL",0.0191,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","10/24/2007, 9:00 AM","PHOSPHORUS, TOTAL",0.164,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","10/3/2007, 9:00 AM","PHOSPHORUS, TOTAL",0.0364,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","9/12/2007, 9:00 AM","PHOSPHORUS, TOTAL",0.0743,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","8/22/2007, 9:00 AM","PHOSPHORUS, TOTAL",0.0487,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","7/18/2007, 9:00 AM","PHOSPHORUS, TOTAL",0.0379,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","6/18/2007, 10:00 AM","PHOSPHORUS, TOTAL",0.053,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","5/31/2007, 9:00 AM","PHOSPHORUS, TOTAL",0.0613,"Moravia","20 m below sr 38.",42.71667,-76.43773
"07-OWLI-3.0","Owasco Lake Inlet","5/3/2007, 10:00 AM","PHOSPHORUS, TOTAL",0.0198,"Moravia","20 m below sr 38.",42.71667,-76.43773
